Contrast name:,Group (joke)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],
,1.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,2948,50,1.000000,1.350061,0.170311,7.927022,11.000000,0.000004,0.000007
2,1627,50,1.000000,1.057156,0.132440,7.982172,11.000000,0.000003,0.000007
3,644,50,1.000000,0.550053,0.153179,3.590924,11.000000,0.002118,0.002118
4,743,50,1.000000,1.964909,0.345841,5.681537,11.000000,0.000071,0.000085
5,462,50,1.000000,1.321113,0.207990,6.351821,11.000000,0.000027,0.000041
6,370,50,1.000000,1.940259,0.202115,9.599769,11.000000,0.000001,0.000003
