Contrast name:,Group (low)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],
,1.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1885,50,1.000000,0.397745,0.122043,3.259062,11.000000,0.003806,0.013320
2,3322,50,1.000000,0.382287,0.107170,3.567115,11.000000,0.002209,0.013320
3,1525,50,1.000000,-0.237346,0.134113,-1.769745,11.000000,0.947777,0.983969
4,4182,50,1.000000,-0.150396,0.061306,-2.453214,11.000000,0.983969,0.983969
5,3419,50,1.000000,-0.039475,0.087645,-0.450398,11.000000,0.669414,0.950406
6,1313,50,1.000000,-0.136224,0.285220,-0.477611,11.000000,0.678862,0.950406
7,4051,50,1.000000,0.144020,0.057193,2.518126,11.000000,0.014285,0.033332
