Contrast name:,Group (other)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],
,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,2948,50,1.000000,1.518551,0.178406,8.511756,11.000000,0.000002,0.000011
2,1627,50,1.000000,1.085961,0.155165,6.998742,11.000000,0.000011,0.000023
3,644,50,1.000000,0.597997,0.181135,3.301393,11.000000,0.003530,0.003530
4,743,50,1.000000,2.071799,0.435435,4.757994,11.000000,0.000296,0.000355
5,462,50,1.000000,1.464174,0.271395,5.394986,11.000000,0.000109,0.000164
6,370,50,1.000000,1.871580,0.243961,7.671623,11.000000,0.000005,0.000015
