"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast","ROIName","contrastName","Group"
1,2948,294,1,0.428849,1,1,"RPostTemp","sent","RHLang-toLang"
2,1627,162,1,0.07378,1,1,"RAntTemp","sent","RHLang-toLang"
3,644,64,1,-0.127262,1,1,"RAngG","sent","RHLang-toLang"
4,743,74,1,0.37774,1,1,"RIFG","sent","RHLang-toLang"
5,462,46,1,0.439451,1,1,"RMFG","sent","RHLang-toLang"
6,370,37,1,0.300755,1,1,"RIFGorb","sent","RHLang-toLang"
1,2948,294,1,0.092687,1,2,"RPostTemp","non","RHLang-toLang"
2,1627,162,1,-0.272515,1,2,"RAntTemp","non","RHLang-toLang"
3,644,64,1,-0.126869,1,2,"RAngG","non","RHLang-toLang"
4,743,74,1,-0.14029,1,2,"RIFG","non","RHLang-toLang"
5,462,46,1,0.058733,1,2,"RMFG","non","RHLang-toLang"
6,370,37,1,-0.16424,1,2,"RIFGorb","non","RHLang-toLang"
1,2948,294,1,0.336162,1,3,"RPostTemp","sent-non","RHLang-toLang"
2,1627,162,1,0.346294,1,3,"RAntTemp","sent-non","RHLang-toLang"
3,644,64,1,-0.000394,1,3,"RAngG","sent-non","RHLang-toLang"
4,743,74,1,0.51803,1,3,"RIFG","sent-non","RHLang-toLang"
5,462,46,1,0.380718,1,3,"RMFG","sent-non","RHLang-toLang"
6,370,37,1,0.464995,1,3,"RIFGorb","sent-non","RHLang-toLang"
1,2948,294,1,0.548522,2,1,"RPostTemp","sent","RHLang-toLang"
2,1627,162,1,0.963269,2,1,"RAntTemp","sent","RHLang-toLang"
3,644,64,1,0.228712,2,1,"RAngG","sent","RHLang-toLang"
4,743,74,1,0.680195,2,1,"RIFG","sent","RHLang-toLang"
5,462,46,1,0.089471,2,1,"RMFG","sent","RHLang-toLang"
6,370,37,1,-0.19407,2,1,"RIFGorb","sent","RHLang-toLang"
