Contrast name:,Group (jokelitjoke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[2;1],c[2;2],c[2;3],c[3;1],c[3;2],c[3;3],
,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],h[1;3],stderr[1;1],stderr[1;2],stderr[1;3],T/F,dof,p,p-fdr
1,2948,50,1.000000,1.350061,1.363630,-0.013569,0.170311,0.177448,0.047503,17.145932,9.000000,0.000460,0.000920
2,1627,50,1.000000,1.057156,1.003979,0.053177,0.132440,0.107485,0.042919,26.784007,9.000000,0.000081,0.000243
3,644,50,1.000000,0.550053,0.471076,0.078977,0.153179,0.148500,0.024421,5.031545,9.000000,0.025626,0.025626
4,743,50,1.000000,1.964909,1.965571,-0.000662,0.345841,0.355779,0.081066,8.803886,9.000000,0.004841,0.005810
5,462,50,1.000000,1.321113,1.367364,-0.046250,0.207990,0.218739,0.059466,11.073830,9.000000,0.002240,0.003360
6,370,50,1.000000,1.940259,1.805320,0.134939,0.202115,0.173065,0.083017,29.685031,9.000000,0.000053,0.000243
