"","Group","ROIName","ROI","contrastName","themean","sterr","se_up","se_down"
"1","LHLang","LocalizerAverage",0,"joke",1.28743051388889,0.121637586359984,1.40906810024887,1.1657929275289
"2","LHLang","LocalizerAverage",0,"lit",1.24583125,0.12202561167592,1.36785686167592,1.12380563832408
"3","MDAll","LocalizerAverage",0,"joke",0.571771157407407,0.0938379487343213,0.665609106141729,0.477933208673086
"4","MDAll","LocalizerAverage",0,"lit",0.494427009259259,0.0753823467141144,0.569809355973374,0.419044662545145
"5","RHLang","LocalizerAverage",0,"joke",0.581203847222222,0.0907717024531561,0.671975549675378,0.490432144769066
"6","RHLang","LocalizerAverage",0,"lit",0.543818708333333,0.0853174702855195,0.629136178618853,0.458501238047814
"7","ToM","LocalizerAverage",0,"joke",0.269919916666667,0.074809321219935,0.344729237886602,0.195110595446732
"8","ToM","LocalizerAverage",0,"lit",0.133888583333333,0.0582968246867482,0.192185408020081,0.0755917586465852
"9","ToMCustom","LocalizerAverage",0,"high",0.340004597222222,0.0765302658465495,0.416534863068772,0.263474331375673
"10","ToMCustom","LocalizerAverage",0,"low",0.078264375,0.0628090570413961,0.141073432041396,0.0154553179586039
"11","ToMCustom","LocalizerAverage",0,"med",0.263312166666667,0.0820910739466774,0.345403240613344,0.181221092719989
