"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast"
"7","4051","405","1.000000","0.158529","6","2"
"1","1885","188","1.000000","0.770077","6","3"
"2","3322","332","1.000000","0.726379","6","3"
"3","1525","152","1.000000","0.392959","6","3"
"4","4182","418","1.000000","0.484778","6","3"
"5","3419","341","1.000000","0.793917","6","3"
"6","1313","131","1.000000","0.771871","6","3"
"7","4051","405","1.000000","0.511492","6","3"
"1","1885","188","1.000000","3.214466","7","1"
"2","3322","332","1.000000","1.966962","7","1"
"3","1525","152","1.000000","2.012249","7","1"
"4","4182","418","1.000000","1.389523","7","1"
"5","3419","341","1.000000","2.307471","7","1"
"6","1313","131","1.000000","0.246405","7","1"
"7","4051","405","1.000000","1.803295","7","1"
"1","1885","188","1.000000","-0.325898","7","2"
"2","3322","332","1.000000","0.703838","7","2"
"3","1525","152","1.000000","-1.347251","7","2"
"4","4182","418","1.000000","-0.198646","7","2"
"5","3419","341","1.000000","0.099037","7","2"
"6","1313","131","1.000000","-0.622823","7","2"
"7","4051","405","1.000000","0.591259","7","2"
"1","1885","188","1.000000","3.540364","7","3"
"2","3322","332","1.000000","1.263124","7","3"
"3","1525","152","1.000000","3.3595","7","3"
"4","4182","418","1.000000","1.58817","7","3"
"5","3419","341","1.000000","2.208434","7","3"
"6","1313","131","1.000000","0.869228","7","3"
"7","4051","405","1.000000","1.212036","7","3"
"1","1885","188","1.000000","-0.112404","8","1"
"2","3322","332","1.000000","1.015233","8","1"
"3","1525","152","1.000000","-0.607904","8","1"
"4","4182","418","1.000000","0.292304","8","1"
"5","3419","341","1.000000","0.393892","8","1"
"6","1313","131","1.000000","-1.159498","8","1"
"7","4051","405","1.000000","0.381767","8","1"
"1","1885","188","1.000000","0.558882","8","2"
"2","3322","332","1.000000","0.345127","8","2"
"3","1525","152","1.000000","-1.434485","8","2"
"4","4182","418","1.000000","-0.210724","8","2"
"5","3419","341","1.000000","0.027895","8","2"
"6","1313","131","1.000000","0.000836","8","2"
"7","4051","405","1.000000","0.001373","8","2"
"1","1885","188","1.000000","-0.671286","8","3"
"2","3322","332","1.000000","0.670106","8","3"
"3","1525","152","1.000000","0.826581","8","3"
"4","4182","418","1.000000","0.503028","8","3"
"5","3419","341","1.000000","0.365997","8","3"
"6","1313","131","1.000000","-1.160333","8","3"
"7","4051","405","1.000000","0.380394","8","3"
"1","1885","188","1.000000","0.249456","9","1"
"2","3322","332","1.000000","1.138443","9","1"
"3","1525","152","1.000000","-0.080368","9","1"
"4","4182","418","1.000000","0.164298","9","1"
