"Group","ROIName","ROI","SubjectNumber","contrastName","sigChange"
"MDLeft","LPrecG",7,2,"joke-lit",0.061534
"MDRight","RPrecG",8,2,"joke-lit",-0.093322
"MDLeft","LInsula",9,2,"joke-lit",-0.091312
"MDRight","RInsula",10,2,"joke-lit",-0.160846
"MDLeft","LSMA",11,2,"joke-lit",-0.219108
"MDRight","RSMA",12,2,"joke-lit",-0.061797
"MDLeft","LPar Inf",13,2,"joke-lit",0.031562
"MDRight","RPar Inf",14,2,"joke-lit",0.381557
"MDLeft","LPar Sup",15,2,"joke-lit",-0.021575
"MDRight","RPar Sup",16,2,"joke-lit",0.216429
"MDLeft","LACC",17,2,"joke-lit",0.028302
"MDRight","RACC",18,2,"joke-lit",-0.026024
"MDLeft","LIFG op",1,3,"joke",0.960269
"MDRight","RIFG op",2,3,"joke",1.633429
"MDLeft","LMFG",3,3,"joke",0.538425
"MDRight","RMFG",4,3,"joke",0.867794
"MDLeft","LMFG orb",5,3,"joke",0.072293
"MDRight","RMFG orb",6,3,"joke",0.448054
"MDLeft","LPrecG",7,3,"joke",1.171132
"MDRight","RPrecG",8,3,"joke",0.856978
"MDLeft","LInsula",9,3,"joke",0.554621
"MDRight","RInsula",10,3,"joke",0.407821
"MDLeft","LSMA",11,3,"joke",0.686776
"MDRight","RSMA",12,3,"joke",1.158985
"MDLeft","LPar Inf",13,3,"joke",0.7107
"MDRight","RPar Inf",14,3,"joke",0.704608
"MDLeft","LPar Sup",15,3,"joke",1.117874
"MDRight","RPar Sup",16,3,"joke",0.640638
"MDLeft","LACC",17,3,"joke",0.330967
"MDRight","RACC",18,3,"joke",0.570887
"MDLeft","LIFG op",1,3,"lit",0.833914
"MDRight","RIFG op",2,3,"lit",1.892878
"MDLeft","LMFG",3,3,"lit",0.197767
"MDRight","RMFG",4,3,"lit",0.701357
"MDLeft","LMFG orb",5,3,"lit",-0.547911
"MDRight","RMFG orb",6,3,"lit",0.327644
"MDLeft","LPrecG",7,3,"lit",0.91301
"MDRight","RPrecG",8,3,"lit",0.738005
"MDLeft","LInsula",9,3,"lit",0.465127
"MDRight","RInsula",10,3,"lit",0.67048
"MDLeft","LSMA",11,3,"lit",0.655169
"MDRight","RSMA",12,3,"lit",1.253279
"MDLeft","LPar Inf",13,3,"lit",0.505542
"MDRight","RPar Inf",14,3,"lit",0.214572
"MDLeft","LPar Sup",15,3,"lit",0.953217
"MDRight","RPar Sup",16,3,"lit",0.542406
"MDLeft","LACC",17,3,"lit",0.126012
"MDRight","RACC",18,3,"lit",0.467754
"MDLeft","LIFG op",1,3,"joke-lit",0.126355
"MDRight","RIFG op",2,3,"joke-lit",-0.259449
"MDLeft","LMFG",3,3,"joke-lit",0.340659
"MDRight","RMFG",4,3,"joke-lit",0.166438
"MDLeft","LMFG orb",5,3,"joke-lit",0.620204
"MDRight","RMFG orb",6,3,"joke-lit",0.12041
"MDLeft","LPrecG",7,3,"joke-lit",0.258122
"MDRight","RPrecG",8,3,"joke-lit",0.118973
"MDLeft","LInsula",9,3,"joke-lit",0.089495
"MDRight","RInsula",10,3,"joke-lit",-0.262659
"MDLeft","LSMA",11,3,"joke-lit",0.031607
"MDRight","RSMA",12,3,"joke-lit",-0.094294
"MDLeft","LPar Inf",13,3,"joke-lit",0.205157
"MDRight","RPar Inf",14,3,"joke-lit",0.490036
"MDLeft","LPar Sup",15,3,"joke-lit",0.164657
"MDRight","RPar Sup",16,3,"joke-lit",0.098231
"MDLeft","LACC",17,3,"joke-lit",0.204956
"MDRight","RACC",18,3,"joke-lit",0.103133
"MDLeft","LIFG op",1,4,"joke",-0.13892
"MDRight","RIFG op",2,4,"joke",-0.141901
"MDLeft","LMFG",3,4,"joke",0.662252
"MDRight","RMFG",4,4,"joke",-0.38015
"MDLeft","LMFG orb",5,4,"joke",1.655371
"MDRight","RMFG orb",6,4,"joke",0.285824
"MDLeft","LPrecG",7,4,"joke",0.324793
"MDRight","RPrecG",8,4,"joke",-0.123136
"MDLeft","LInsula",9,4,"joke",0.044213
"MDRight","RInsula",10,4,"joke",-0.120439
"MDLeft","LSMA",11,4,"joke",0.409908
"MDRight","RSMA",12,4,"joke",0.413031
"MDLeft","LPar Inf",13,4,"joke",0.007555
"MDRight","RPar Inf",14,4,"joke",-0.213581
"MDLeft","LPar Sup",15,4,"joke",0.412077
"MDRight","RPar Sup",16,4,"joke",-0.044594
"MDLeft","LACC",17,4,"joke",-0.397251
"MDRight","RACC",18,4,"joke",-0.066054
"MDLeft","LIFG op",1,4,"lit",-0.42393
"MDRight","RIFG op",2,4,"lit",-0.258247
"MDLeft","LMFG",3,4,"lit",0.588528
"MDRight","RMFG",4,4,"lit",-0.114874
"MDLeft","LMFG orb",5,4,"lit",0.982157
"MDRight","RMFG orb",6,4,"lit",0.308587
"MDLeft","LPrecG",7,4,"lit",0.24274
"MDRight","RPrecG",8,4,"lit",-0.08122
"MDLeft","LInsula",9,4,"lit",-0.169891
"MDRight","RInsula",10,4,"lit",-0.18386
"MDLeft","LSMA",11,4,"lit",0.213402
"MDRight","RSMA",12,4,"lit",0.198294
"MDLeft","LPar Inf",13,4,"lit",0.046705
"MDRight","RPar Inf",14,4,"lit",-0.158765
"MDLeft","LPar Sup",15,4,"lit",0.430743
"MDRight","RPar Sup",16,4,"lit",0.111886
"MDLeft","LACC",17,4,"lit",-0.511559
"MDRight","RACC",18,4,"lit",-0.131502
"MDLeft","LIFG op",1,4,"joke-lit",0.28501
"MDRight","RIFG op",2,4,"joke-lit",0.116345
"MDLeft","LMFG",3,4,"joke-lit",0.073724
"MDRight","RMFG",4,4,"joke-lit",-0.265276
"MDLeft","LMFG orb",5,4,"joke-lit",0.673214
"MDRight","RMFG orb",6,4,"joke-lit",-0.022763
"MDLeft","LPrecG",7,4,"joke-lit",0.082053
"MDRight","RPrecG",8,4,"joke-lit",-0.041916
"MDLeft","LInsula",9,4,"joke-lit",0.214104
"MDRight","RInsula",10,4,"joke-lit",0.063421
"MDLeft","LSMA",11,4,"joke-lit",0.196506
"MDRight","RSMA",12,4,"joke-lit",0.214736
"MDLeft","LPar Inf",13,4,"joke-lit",-0.039149
"MDRight","RPar Inf",14,4,"joke-lit",-0.054816
"MDLeft","LPar Sup",15,4,"joke-lit",-0.018667
"MDRight","RPar Sup",16,4,"joke-lit",-0.15648
"MDLeft","LACC",17,4,"joke-lit",0.114307
"MDRight","RACC",18,4,"joke-lit",0.065448
"MDLeft","LIFG op",1,5,"joke",1.325206
"MDRight","RIFG op",2,5,"joke",0.389872
"MDLeft","LMFG",3,5,"joke",0.892592
"MDRight","RMFG",4,5,"joke",0.501635
"MDLeft","LMFG orb",5,5,"joke",0.438359
"MDRight","RMFG orb",6,5,"joke",0.748582
"MDLeft","LPrecG",7,5,"joke",1.834762
"MDRight","RPrecG",8,5,"joke",0.724404
"MDLeft","LInsula",9,5,"joke",0.719788
"MDRight","RInsula",10,5,"joke",0.680284
"MDLeft","LSMA",11,5,"joke",1.424956
"MDRight","RSMA",12,5,"joke",1.126949
"MDLeft","LPar Inf",13,5,"joke",0.712619
"MDRight","RPar Inf",14,5,"joke",0.379478
"MDLeft","LPar Sup",15,5,"joke",1.249153
"MDRight","RPar Sup",16,5,"joke",1.312161
"MDLeft","LACC",17,5,"joke",1.086402
"MDRight","RACC",18,5,"joke",1.104537
"MDLeft","LIFG op",1,5,"lit",0.812346
"MDRight","RIFG op",2,5,"lit",0.18198
"MDLeft","LMFG",3,5,"lit",0.485801
"MDRight","RMFG",4,5,"lit",0.414271
"MDLeft","LMFG orb",5,5,"lit",0.308135
"MDRight","RMFG orb",6,5,"lit",0.889201
"MDLeft","LPrecG",7,5,"lit",1.598848
"MDRight","RPrecG",8,5,"lit",0.60004
"MDLeft","LInsula",9,5,"lit",0.542901
"MDRight","RInsula",10,5,"lit",0.555754
"MDLeft","LSMA",11,5,"lit",1.228079
"MDRight","RSMA",12,5,"lit",1.066084
"MDLeft","LPar Inf",13,5,"lit",0.47336
"MDRight","RPar Inf",14,5,"lit",0.030799
"MDLeft","LPar Sup",15,5,"lit",1.236079
"MDRight","RPar Sup",16,5,"lit",1.340123
"MDLeft","LACC",17,5,"lit",0.842906
"MDRight","RACC",18,5,"lit",0.921649
"MDLeft","LIFG op",1,5,"joke-lit",0.51286
"MDRight","RIFG op",2,5,"joke-lit",0.207892
"MDLeft","LMFG",3,5,"joke-lit",0.406792
"MDRight","RMFG",4,5,"joke-lit",0.087365
"MDLeft","LMFG orb",5,5,"joke-lit",0.130224
