"Group","ROIName","ROI","SubjectNumber","contrastName","sigChange"
"LHLang","LAnt Temp",2,9,"lit",0.825009
"LHLang","LAngG",3,9,"lit",-0.11505
"LHLang","LIFG",4,9,"lit",1.749227
"LHLang","LMFG",5,9,"lit",0.384781
"LHLang","LIFG orb",6,9,"lit",1.795361
"LHLang","LPost Temp",1,9,"joke-lit",0.198065
"LHLang","LAnt Temp",2,9,"joke-lit",0.253663
"LHLang","LAngG",3,9,"joke-lit",0.208373
"LHLang","LIFG",4,9,"joke-lit",0.561183
"LHLang","LMFG",5,9,"joke-lit",0.13545
"LHLang","LIFG orb",6,9,"joke-lit",0.383604
"LHLang","LPost Temp",1,10,"joke",1.199607
"LHLang","LAnt Temp",2,10,"joke",1.069662
"LHLang","LAngG",3,10,"joke",0.216324
"LHLang","LIFG",4,10,"joke",4.392391
"LHLang","LMFG",5,10,"joke",2.295061
"LHLang","LIFG orb",6,10,"joke",2.018475
"LHLang","LPost Temp",1,10,"lit",1.138856
"LHLang","LAnt Temp",2,10,"lit",1.042568
"LHLang","LAngG",3,10,"lit",0.201429
"LHLang","LIFG",4,10,"lit",4.513006
"LHLang","LMFG",5,10,"lit",2.517442
"LHLang","LIFG orb",6,10,"lit",1.947482
"LHLang","LPost Temp",1,10,"joke-lit",0.060751
"LHLang","LAnt Temp",2,10,"joke-lit",0.027094
"LHLang","LAngG",3,10,"joke-lit",0.014896
"LHLang","LIFG",4,10,"joke-lit",-0.120615
"LHLang","LMFG",5,10,"joke-lit",-0.222381
"LHLang","LIFG orb",6,10,"joke-lit",0.070993
"LHLang","LPost Temp",1,11,"joke",1.471429
"LHLang","LAnt Temp",2,11,"joke",0.705252
"LHLang","LAngG",3,11,"joke",0.49558
"LHLang","LIFG",4,11,"joke",3.083466
"LHLang","LMFG",5,11,"joke",1.418419
"LHLang","LIFG orb",6,11,"joke",1.899243
"LHLang","LPost Temp",1,11,"lit",1.589762
"LHLang","LAnt Temp",2,11,"lit",0.640834
"LHLang","LAngG",3,11,"lit",0.293231
"LHLang","LIFG",4,11,"lit",3.113567
"LHLang","LMFG",5,11,"lit",1.510107
"LHLang","LIFG orb",6,11,"lit",1.935319
"LHLang","LPost Temp",1,11,"joke-lit",-0.118333
"LHLang","LAnt Temp",2,11,"joke-lit",0.064418
"LHLang","LAngG",3,11,"joke-lit",0.202349
"LHLang","LIFG",4,11,"joke-lit",-0.030101
"LHLang","LMFG",5,11,"joke-lit",-0.091688
"LHLang","LIFG orb",6,11,"joke-lit",-0.036076
"LHLang","LPost Temp",1,12,"joke",1.680938
"LHLang","LAnt Temp",2,12,"joke",1.314906
"LHLang","LAngG",3,12,"joke",1.75823
"LHLang","LIFG",4,12,"joke",1.481479
"LHLang","LMFG",5,12,"joke",2.496555
"LHLang","LIFG orb",6,12,"joke",1.927422
"LHLang","LPost Temp",1,12,"lit",1.737995
"LHLang","LAnt Temp",2,12,"lit",1.230561
"LHLang","LAngG",3,12,"lit",1.539608
"LHLang","LIFG",4,12,"lit",1.533967
"LHLang","LMFG",5,12,"lit",2.543195
"LHLang","LIFG orb",6,12,"lit",2.020247
"LHLang","LPost Temp",1,12,"joke-lit",-0.057058
"LHLang","LAnt Temp",2,12,"joke-lit",0.084345
"LHLang","LAngG",3,12,"joke-lit",0.218622
"LHLang","LIFG",4,12,"joke-lit",-0.052488
"LHLang","LMFG",5,12,"joke-lit",-0.04664
"LHLang","LIFG orb",6,12,"joke-lit",-0.092825
"MDLeft","LIFG op",1,1,"joke",1.483152
"MDRight","RIFG op",2,1,"joke",1.43058
"MDLeft","LMFG",3,1,"joke",0.969636
"MDRight","RMFG",4,1,"joke",1.089089
"MDLeft","LMFG orb",5,1,"joke",0.158769
"MDRight","RMFG orb",6,1,"joke",0.20806
"MDLeft","LPrecG",7,1,"joke",2.1911
"MDRight","RPrecG",8,1,"joke",0.67418
"MDLeft","LInsula",9,1,"joke",0.876826
"MDRight","RInsula",10,1,"joke",0.921694
"MDLeft","LSMA",11,1,"joke",1.405371
"MDRight","RSMA",12,1,"joke",1.431166
"MDLeft","LPar Inf",13,1,"joke",0.616473
"MDRight","RPar Inf",14,1,"joke",0.537586
"MDLeft","LPar Sup",15,1,"joke",0.3741
"MDRight","RPar Sup",16,1,"joke",0.472157
"MDLeft","LACC",17,1,"joke",0.355901
"MDRight","RACC",18,1,"joke",0.651534
"MDLeft","LIFG op",1,1,"lit",1.332294
"MDRight","RIFG op",2,1,"lit",1.377182
"MDLeft","LMFG",3,1,"lit",0.617558
"MDRight","RMFG",4,1,"lit",0.703057
"MDLeft","LMFG orb",5,1,"lit",-0.073259
"MDRight","RMFG orb",6,1,"lit",0.230088
"MDLeft","LPrecG",7,1,"lit",1.951582
"MDRight","RPrecG",8,1,"lit",0.466375
"MDLeft","LInsula",9,1,"lit",0.651795
"MDRight","RInsula",10,1,"lit",0.766586
"MDLeft","LSMA",11,1,"lit",1.240477
"MDRight","RSMA",12,1,"lit",1.308011
"MDLeft","LPar Inf",13,1,"lit",0.322926
"MDRight","RPar Inf",14,1,"lit",0.179134
"MDLeft","LPar Sup",15,1,"lit",0.151177
"MDRight","RPar Sup",16,1,"lit",0.18483
"MDLeft","LACC",17,1,"lit",0.072816
"MDRight","RACC",18,1,"lit",0.400671
"MDLeft","LIFG op",1,1,"joke-lit",0.150858
"MDRight","RIFG op",2,1,"joke-lit",0.053398
"MDLeft","LMFG",3,1,"joke-lit",0.352078
"MDRight","RMFG",4,1,"joke-lit",0.386033
"MDLeft","LMFG orb",5,1,"joke-lit",0.232028
"MDRight","RMFG orb",6,1,"joke-lit",-0.022028
"MDLeft","LPrecG",7,1,"joke-lit",0.239519
"MDRight","RPrecG",8,1,"joke-lit",0.207805
"MDLeft","LInsula",9,1,"joke-lit",0.225031
"MDRight","RInsula",10,1,"joke-lit",0.155107
"MDLeft","LSMA",11,1,"joke-lit",0.164894
"MDRight","RSMA",12,1,"joke-lit",0.123154
"MDLeft","LPar Inf",13,1,"joke-lit",0.293547
"MDRight","RPar Inf",14,1,"joke-lit",0.358452
"MDLeft","LPar Sup",15,1,"joke-lit",0.222924
