"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast","filename","fROIs","task","ind_selection_method"
"1","1038","103","1.000000","-0.096595","1","1","RevLangfROIsrespMD_20171220_results","RevLangfROIsrespMD","results","Top10Percent"
"2","1399","139","1.000000","0.112013","1","1","RevLangfROIsrespMD_20171220_results","RevLangfROIsrespMD","results","Top10Percent"
"3","4863","486","1.000000","-0.286691","1","1","RevLangfROIsrespMD_20171220_results","RevLangfROIsrespMD","results","Top10Percent"
"4","5104","510","1.000000","0.752162","1","1","RevLangfROIsrespMD_20171220_results","RevLangfROIsrespMD","results","Top10Percent"
"5","888","88","1.000000","-0.592825","1","1","RevLangfROIsrespMD_20171220_results","RevLangfROIsrespMD","results","Top10Percent"
"6","1015","101","1.000000","0.122786","1","1","RevLangfROIsrespMD_20171220_results","RevLangfROIsrespMD","results","Top10Percent"
"7","3526","352","1.000000","0.183918","1","1","RevLangfROIsrespMD_20171220_results","RevLangfROIsrespMD","results","Top10Percent"
"8","3381","338","1.000000","-0.174656","1","1","RevLangfROIsrespMD_20171220_results","RevLangfROIsrespMD","results","Top10Percent"
"9","1858","185","1.000000","-0.307724","1","1","RevLangfROIsrespMD_20171220_results","RevLangfROIsrespMD","results","Top10Percent"
"10","1770","177","1.000000","-0.811018","1","1","RevLangfROIsrespMD_20171220_results","RevLangfROIsrespMD","results","Top10Percent"
"11","2147","214","1.000000","-0.003334","1","1","RevLangfROIsrespMD_20171220_results","RevLangfROIsrespMD","results","Top10Percent"
"12","2371","237","1.000000","-0.375475","1","1","RevLangfROIsrespMD_20171220_results","RevLangfROIsrespMD","results","Top10Percent"
"13","2447","244","1.000000","0.740977","1","1","RevLangfROIsrespMD_20171220_results","RevLangfROIsrespMD","results","Top10Percent"
"14","1345","134","1.000000","0.205862","1","1","RevLangfROIsrespMD_20171220_results","RevLangfROIsrespMD","results","Top10Percent"
