subject,MROI 7,MROI 9,MROI 13,MROI 15,ToMROI 1,ToMROI 2,ToMROI 3,ToMROI 4,ToMROI 5
Subject#1,0.239518,0.225031,0.293547,0.222923,0.300644,0.058711,0.194963,1.285207,0.297532
Subject#2,0.061534,-0.091311,0.031563,-0.021575,-0.02424,0.116417,0.034221,-0.691039,0.044033
Subject#3,0.258122,0.089494,0.205158,0.164657,0.183703,0.310413,0.188808,0.536591,0.777119
Subject#4,0.082053,0.214104,-0.03915,-0.018666,-0.068947,0.209848,0.120946,0.38104,0.116042
Subject#5,0.235914,0.176887,0.239259,0.013074,0.101463,0.023359,-0.054626,0.860713,0.266686
Subject#6,0.117135,0.127092,0.250449,0.222568,0.382663,0.049455,0.396153,0.397877,0.172312
Subject#7,0.034814,-0.152484,0.047167,0.015981,0.006388,-0.01322,-0.284995,0.010929,-0.350278
Subject#8,0.005602,0.223428,0.182506,0.180093,0.336591,0.07376,0.351444,-0.066617,0.169926
Subject#9,0.073834,0.108339,0.108546,0.093567,0.057297,0.265094,0.076675,0.39092,0.439509
Subject#10,0.058082,0.273765,0.315198,0.119158,0.35963,0.099822,0.319385,0.898494,1.028316
Subject#11,-0.054179,-0.148786,-0.19191,-0.069178,-0.070958,0.033304,0.03626,1.349529,-0.289647
Subject#12,0.154775,0.315913,0.135378,0.259844,0.355698,0.246993,0.059696,0.530412,0.405243
