subject,joke,contrast,joke-contrast,ToMROI 1 [joke-contrast],ToMROI 2 [joke-contrast],ToMROI 3 [joke-contrast],ToMROI 4 [joke-contrast],ToMROI 5 [joke-contrast],average ToM
KAN_RHnonlit_01,2.533333,1.333333,1.2,0.300644,0.058711,0.194963,1.285207,0.297532,0.4274114
KAN_RHnonlit_02,2.434211,1.328767,1.105444,-0.02424,0.116417,0.034221,-0.691039,0.044033,-0.1041216
KAN_RHnonlit_03,2.736842,1.492958,1.243884,0.183703,0.310413,0.188808,0.536591,0.777119,0.3993268
KAN_RHnonlit_04,1.804348,1.09434,0.710008,-0.068947,0.209848,0.120946,0.38104,0.116042,0.1517858
KAN_RHnonlit_05,2.186047,1.479167,0.70688,0.101463,0.023359,-0.054626,0.860713,0.266686,0.239519
KAN_RHnonlit_06,1.76,1.173077,0.586923,0.382663,0.049455,0.396153,0.397877,0.172312,0.279692
KAN_RHnonlit_07,1.488889,1.093023,0.395866,0.006388,-0.01322,-0.284995,0.010929,-0.350278,-0.1262352
KAN_RHnonlit_08,2.166667,1.208333,0.958334,0.336591,0.07376,0.351444,-0.066617,0.169926,0.1730208
KAN_RHnonlit_09,2.734694,1.431373,1.303321,0.057297,0.265094,0.076675,0.39092,0.439509,0.245899
KAN_RHnonlit_10,2.673913,1.543478,1.130435,0.35963,0.099822,0.319385,0.898494,1.028316,0.5411294
KAN_RHnonlit_11,2.102041,1.326531,0.77551,-0.070958,0.033304,0.03626,1.349529,-0.289647,0.2116976
KAN_RHnonlit_12,2.625,1.14,1.485,0.355698,0.246993,0.059696,0.530412,0.405243,0.3196084
