Contrast name:,Group (lit-met)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],
,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,2948,294,1.000000,0.074953,0.074047,1.012235,11.000000,0.166587,0.249880
2,1627,162,1.000000,0.082132,0.069320,1.184829,11.000000,0.130526,0.249880
3,644,64,1.000000,0.109886,0.087055,1.262259,11.000000,0.116481,0.249880
4,743,74,1.000000,0.122866,0.100912,1.217555,11.000000,0.124434,0.249880
5,462,46,1.000000,0.057927,0.103651,0.558861,11.000000,0.293727,0.352472
6,370,37,1.000000,0.034427,0.114747,0.300026,11.000000,0.384875,0.384875
