Contrast name:,Group (ODD_joke-litEVEN_joke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[2;1],c[2;2],
,1.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],stderr[1;1],stderr[1;2],T/F,dof,p,p-fdr
1,1885,188,1.000000,0.129453,0.182335,0.124929,0.110601,1.781066,10.000000,0.217952,0.305132
2,3322,332,1.000000,0.066281,0.161591,0.052068,0.071415,5.826597,10.000000,0.021008,0.073529
3,1525,152,1.000000,0.267535,0.275967,0.130997,0.116040,6.551877,10.000000,0.015191,0.073529
4,4182,418,1.000000,0.129081,0.094470,0.050930,0.062764,3.841059,10.000000,0.057853,0.111028
5,3419,341,1.000000,0.142205,0.102778,0.053549,0.061868,3.679422,10.000000,0.063445,0.111028
6,1313,131,1.000000,-0.010326,0.200348,0.092339,0.123375,1.308939,10.000000,0.312657,0.364767
7,4051,405,1.000000,0.026290,0.076623,0.049449,0.065407,0.812457,10.000000,0.471033,0.471033
