Contrast name:,Group (joke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],
,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1885,50,1.000000,0.158060,0.085378,1.851297,11.000000,0.045569,0.063797
2,3322,50,1.000000,0.143994,0.038441,3.745872,11.000000,0.001617,0.005658
3,1525,50,1.000000,0.293613,0.073312,4.004974,11.000000,0.001034,0.005658
4,4182,50,1.000000,0.137517,0.056050,2.453466,11.000000,0.016024,0.034152
5,3419,50,1.000000,0.134829,0.057569,2.342058,11.000000,0.019515,0.034152
6,1313,50,1.000000,0.130710,0.105126,1.243370,11.000000,0.119790,0.139755
7,4051,50,1.000000,0.041666,0.040629,1.025525,11.000000,0.163570,0.163570
