Contrast name:,Group (SNS-N)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[2;1],c[2;2],c[2;3],c[3;1],c[3;2],c[3;3],
,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],h[1;3],stderr[1;1],stderr[1;2],stderr[1;3],T/F,dof,p,p-fdr
1,2948,294,1.000000,0.811357,0.398474,0.412883,0.148624,0.094998,0.077353,8.705524,9.000000,0.005022,0.007960
2,1627,162,1.000000,0.974930,0.195722,0.779208,0.146243,0.072473,0.099313,16.962291,9.000000,0.000479,0.002874
3,644,64,1.000000,0.128535,0.033998,0.094537,0.112850,0.100177,0.052843,0.907266,9.000000,0.475026,0.475026
4,743,74,1.000000,0.992988,0.456979,0.536009,0.144902,0.103372,0.105799,12.843964,9.000000,0.001330,0.003990
5,462,46,1.000000,0.768004,0.550786,0.217218,0.160592,0.147435,0.090915,6.283369,9.000000,0.013748,0.016498
6,370,37,1.000000,0.904992,0.465091,0.439900,0.164239,0.117179,0.094796,8.558426,9.000000,0.005307,0.007960
