Contrast name:,Group (joke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],
,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,389,50,1.000000,0.158716,0.050802,3.124243,11.000000,0.004838,0.008064
2,389,50,1.000000,0.114719,0.030286,3.787852,11.000000,0.001503,0.007515
3,389,50,1.000000,0.119858,0.052432,2.285977,11.000000,0.021541,0.021541
4,163,50,1.000000,0.433542,0.137366,3.156116,11.000000,0.004571,0.008064
5,378,50,1.000000,0.259557,0.110357,2.351967,11.000000,0.019177,0.021541
