Contrast name:,Group (EVEN_joke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],
,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,0.331109,0.127452,2.597924,11.000000,0.012393,0.032929
2,743,74,1.000000,0.244891,0.114178,2.144822,11.000000,0.027571,0.041356
3,462,46,1.000000,0.087997,0.105366,0.835152,11.000000,0.210701,0.210701
4,1627,162,1.000000,0.124067,0.050885,2.438169,11.000000,0.016465,0.032929
5,2948,294,1.000000,0.120507,0.069593,1.731584,11.000000,0.055629,0.066755
6,644,64,1.000000,0.147059,0.053990,2.723808,11.000000,0.009898,0.032929
