Data
ROI#,ROI size,average localizer mask size,inter-subject overlap,Subject#1[1],Subject#1[2],Subject#2[1],Subject#2[2],Subject#3[1],Subject#3[2],Subject#4[1],Subject#4[2],Subject#5[1],Subject#5[2],Subject#6[1],Subject#6[2],Subject#7[1],Subject#7[2],Subject#8[1],Subject#8[2],Subject#9[1],Subject#9[2],Subject#10[1],Subject#10[2],Subject#11[1],Subject#11[2],Subject#12[1],Subject#12[2]
1,370,37,1.000000,-0.128209,0.830028,-0.269637,0.106257,0.107109,0.035830,0.179289,1.506516,0.432707,0.333678,-0.200131,0.309627,-0.250567,-0.062220,0.107298,-0.064119,0.413490,0.353717,0.045091,0.096895,-0.341523,0.269370,-0.443384,0.257733
2,743,74,1.000000,-0.245889,0.400911,-0.656452,-0.024980,0.061673,0.032927,-0.179917,1.095173,-0.102039,-0.102124,-0.237274,0.338975,-0.289477,0.036004,-0.381345,0.070908,0.207630,0.914736,-0.043193,-0.198036,-0.224738,0.164536,-0.314642,0.209666
3,462,46,1.000000,-0.186274,0.466812,-0.392275,-0.098321,0.102359,0.120568,-0.195670,0.734948,0.013174,-0.445929,-0.035662,0.297239,-0.296184,0.393928,-0.537996,-0.313773,0.104195,0.166705,-0.185976,-0.258786,0.085388,-0.268765,-0.354615,0.261335
4,1627,162,1.000000,-0.060163,0.222314,-0.143144,0.042334,0.166041,0.006294,0.013945,0.229576,-0.003133,-0.230800,0.053949,0.248026,-0.042942,-0.142158,0.004249,0.201932,0.207192,0.300134,-0.078402,0.132590,0.000454,0.128381,-0.181490,0.350180
5,2948,294,1.000000,-0.141091,0.250098,-0.207992,-0.139391,0.212382,0.123972,-0.099318,0.652845,0.080474,-0.242928,0.072401,0.256781,-0.108083,0.010360,-0.242653,0.094037,0.092157,0.303974,0.020294,0.101209,-0.091662,-0.145004,-0.294242,0.180127
6,644,64,1.000000,-0.051160,0.213051,-0.086487,0.129316,0.053016,0.053300,-0.204387,0.386632,0.256652,-0.201246,0.081064,-0.008665,0.067671,-0.003095,-0.152267,0.215838,0.126862,0.289884,0.018963,0.010828,0.183799,0.220898,-0.020725,0.457969

Weights
ROI#,Subject#1,Subject#2,Subject#3,Subject#4,Subject#5,Subject#6,Subject#7,Subject#8,Subject#9,Subject#10,Subject#11,Subject#12
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000

quality control (localizer mask sizes)
Subject#,Session/Partition#,filename,ROI#1,ROI#2,ROI#3,ROI#4,ROI#5,ROI#6
1,1,/mindhive/evlab/u/Shared/SUBJECTS/152_KAN_RHnonlit_01/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,37,74,46,162,294,64
2,1,/mindhive/evlab/u/Shared/SUBJECTS/138_KAN_RHnonlit_02/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,37,74,46,162,294,64
3,1,/mindhive/evlab/u/Shared/SUBJECTS/136_KAN_RHnonlit_03/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,37,74,46,162,294,64
4,1,/mindhive/evlab/u/Shared/SUBJECTS/194_KAN_RHnonlit_04/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,37,74,46,162,294,64
5,1,/mindhive/evlab/u/Shared/SUBJECTS/097_KAN_RHnonlit_05/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,37,74,46,162,294,64
6,1,/mindhive/evlab/u/Shared/SUBJECTS/135_KAN_RHnonlit_06/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,37,74,46,162,294,64
7,1,/mindhive/evlab/u/Shared/SUBJECTS/197_KAN_RHnonlit_07/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,37,74,46,162,294,64
8,1,/mindhive/evlab/u/Shared/SUBJECTS/198_KAN_RHnonlit_08/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,37,74,46,162,294,64
9,1,/mindhive/evlab/u/Shared/SUBJECTS/018_KAN_RHnonlit_09/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,37,74,46,162,294,64
10,1,/mindhive/evlab/u/Shared/SUBJECTS/049_KAN_RHnonlit_10/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,37,74,46,162,294,64
11,1,/mindhive/evlab/u/Shared/SUBJECTS/201_KAN_RHnonlit_11/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,37,74,46,162,294,64
12,1,/mindhive/evlab/u/Shared/SUBJECTS/175_KAN_RHnonlit_12/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,37,74,46,162,294,64
