Contrast name:,Group (ODD_joke-litEVEN_joke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[2;1],c[2;2],
,1.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],stderr[1;1],stderr[1;2],T/F,dof,p,p-fdr
1,370,37,1.000000,-0.029039,0.331109,0.083051,0.127452,3.442677,10.000000,0.072853,0.126514
2,743,74,1.000000,-0.200472,0.244891,0.063706,0.114178,9.429967,10.000000,0.004995,0.029969
3,462,46,1.000000,-0.156628,0.087997,0.061549,0.105366,3.198995,10.000000,0.084343,0.126514
4,1627,162,1.000000,-0.005287,0.124067,0.032373,0.050885,2.717887,10.000000,0.114119,0.136943
5,2948,294,1.000000,-0.058944,0.120507,0.044603,0.069593,2.187115,10.000000,0.162959,0.162959
6,644,64,1.000000,0.022750,0.147059,0.038861,0.053990,6.353064,10.000000,0.016569,0.049706
