Data
ROI#,ROI size,average localizer mask size,inter-subject overlap,Subject#1[1],Subject#1[2],Subject#1[3],Subject#2[1],Subject#2[2],Subject#2[3],Subject#3[1],Subject#3[2],Subject#3[3],Subject#4[1],Subject#4[2],Subject#4[3],Subject#5[1],Subject#5[2],Subject#5[3],Subject#6[1],Subject#6[2],Subject#6[3],Subject#7[1],Subject#7[2],Subject#7[3],Subject#8[1],Subject#8[2],Subject#8[3],Subject#9[1],Subject#9[2],Subject#9[3]
1,1885,188,1.000000,0.473869,0.401677,0.072192,0.014780,-0.217544,0.232324,0.860913,-1.405262,2.266174,0.022939,0.209739,-0.186799,1.931957,0.953278,0.978680,0.473187,-0.296891,0.770077,3.214466,-0.325898,3.540364,-0.112404,0.558882,-0.671286,0.249456,-0.667029,0.916486
2,3322,332,1.000000,2.070280,0.818731,1.251549,1.541087,0.562181,0.978906,0.793453,-0.212648,1.006101,0.949121,0.613038,0.336083,1.832708,0.807100,1.025608,1.393821,0.667442,0.726379,1.966962,0.703838,1.263124,1.015233,0.345127,0.670106,1.138443,0.474164,0.664280
3,1525,152,1.000000,1.141209,-0.112415,1.253624,-0.534705,-0.366983,-0.167723,-0.037829,-1.583016,1.545186,-0.292400,0.197964,-0.490365,0.300673,0.332658,-0.031985,0.229343,-0.163616,0.392959,2.012249,-1.347251,3.359500,-0.607904,-1.434485,0.826581,-0.080368,-0.763839,0.683471
4,4182,418,1.000000,1.579741,0.511936,1.067805,0.905928,0.120708,0.785220,0.758200,-0.778490,1.536690,0.034538,0.148377,-0.113839,1.503999,0.553632,0.950366,0.345589,-0.139189,0.484778,1.389523,-0.198646,1.588170,0.292304,-0.210724,0.503028,0.164298,-0.191574,0.355872
5,3419,341,1.000000,1.579162,0.160276,1.418886,0.982377,0.006658,0.975720,1.048243,-0.583776,1.632019,0.402780,0.153829,0.248951,1.718959,0.390079,1.328880,1.047078,0.253161,0.793917,2.307471,0.099037,2.208434,0.393892,0.027895,0.365997,0.556020,-0.077305,0.633325
6,1313,131,1.000000,0.176716,-0.307914,0.484631,-0.043594,-0.141068,0.097474,0.157409,-0.410499,0.567908,-0.405864,-0.248428,-0.157435,0.394499,0.376727,0.017772,0.865406,0.093536,0.771871,0.246405,-0.622823,0.869228,-1.159498,0.000836,-1.160333,-0.040815,0.260876,-0.301691
7,4051,405,1.000000,1.420851,0.518939,0.901912,0.476871,0.010707,0.466164,1.036619,-0.256589,1.293208,0.332018,0.167018,0.164999,1.690742,0.435484,1.255259,0.670022,0.158529,0.511492,1.803295,0.591259,1.212036,0.381767,0.001373,0.380394,0.266031,0.057797,0.208233

Weights
ROI#,Subject#1,Subject#2,Subject#3,Subject#4,Subject#5,Subject#6,Subject#7,Subject#8,Subject#9
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
7,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000

quality control (localizer mask sizes)
Subject#,Session/Partition#,filename,ROI#1,ROI#2,ROI#3,ROI#4,ROI#5,ROI#6,ROI#7
1,1,/users/evelina9/more_evelina_files/MEGADATA/194_KAN_RHnonlit_04/firstlevel_ToMshort/locT_0041_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
1,2,/users/evelina9/more_evelina_files/MEGADATA/194_KAN_RHnonlit_04/firstlevel_ToMshort/locT_0042_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
2,1,/users/evelina9/more_evelina_files/MEGADATA/097_KAN_RHnonlit_05/firstlevel_ToMshort/locT_0041_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
2,2,/users/evelina9/more_evelina_files/MEGADATA/097_KAN_RHnonlit_05/firstlevel_ToMshort/locT_0042_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
3,1,/users/evelina9/more_evelina_files/MEGADATA/135_KAN_RHnonlit_06/firstlevel_ToMshort/locT_0041_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
3,2,/users/evelina9/more_evelina_files/MEGADATA/135_KAN_RHnonlit_06/firstlevel_ToMshort/locT_0042_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
4,1,/users/evelina9/more_evelina_files/MEGADATA/197_KAN_RHnonlit_07/firstlevel_ToMshort/locT_0041_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
4,2,/users/evelina9/more_evelina_files/MEGADATA/197_KAN_RHnonlit_07/firstlevel_ToMshort/locT_0042_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
5,1,/users/evelina9/more_evelina_files/MEGADATA/198_KAN_RHnonlit_08/firstlevel_ToMshort/locT_0041_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
5,2,/users/evelina9/more_evelina_files/MEGADATA/198_KAN_RHnonlit_08/firstlevel_ToMshort/locT_0042_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
6,1,/users/evelina9/more_evelina_files/MEGADATA/018_KAN_RHnonlit_09/firstlevel_ToMshort/locT_0041_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
