Contrast name:,Group (ODD_joke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],
,1.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.030935,0.076614,0.403771,11.000000,0.347060,0.566123
2,1399,139,1.000000,-0.060275,0.078809,-0.764822,11.000000,0.769765,0.769765
3,4863,486,1.000000,0.131704,0.137520,0.957704,11.000000,0.179394,0.472504
4,5104,510,1.000000,-0.003710,0.116882,-0.031741,11.000000,0.512376,0.614852
5,888,88,1.000000,0.026728,0.197244,0.135508,11.000000,0.447329,0.576680
6,1015,101,1.000000,0.027438,0.085694,0.320181,11.000000,0.377415,0.566123
7,3526,352,1.000000,0.076191,0.056639,1.345209,11.000000,0.102817,0.472504
8,3381,338,1.000000,0.008256,0.062357,0.132402,11.000000,0.448529,0.576680
9,1858,185,1.000000,0.057268,0.064479,0.888161,11.000000,0.196731,0.472504
10,1770,177,1.000000,-0.034133,0.064003,-0.533295,11.000000,0.697782,0.738828
11,2147,214,1.000000,0.056647,0.076144,0.743942,11.000000,0.236252,0.472504
12,2371,237,1.000000,0.029115,0.049142,0.592455,11.000000,0.282763,0.508973
13,2447,244,1.000000,0.113688,0.063362,1.794261,11.000000,0.050136,0.451220
14,1345,134,1.000000,0.183410,0.080779,2.270526,11.000000,0.022133,0.398400
15,2065,206,1.000000,0.051516,0.060409,0.852778,11.000000,0.205983,0.472504
16,2222,222,1.000000,-0.013496,0.057862,-0.233243,11.000000,0.590072,0.663831
17,1615,161,1.000000,0.113616,0.096808,1.173622,11.000000,0.132666,0.472504
18,1958,195,1.000000,0.049910,0.065257,0.764814,11.000000,0.230238,0.472504
