Contrast name:,Group (EVEN_joke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],
,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.224611,0.089155,2.519328,11.000000,0.014255,0.085529
2,1399,139,1.000000,0.017938,0.107246,0.167263,11.000000,0.435099,0.460693
3,4863,486,1.000000,0.267563,0.128332,2.084933,11.000000,0.030587,0.091761
4,5104,510,1.000000,0.033363,0.101409,0.328999,11.000000,0.374168,0.459598
5,888,88,1.000000,0.295720,0.128063,2.309180,11.000000,0.020679,0.091761
6,1015,101,1.000000,-0.012444,0.102333,-0.121604,11.000000,0.547297,0.547297
7,3526,352,1.000000,0.173911,0.081232,2.140905,11.000000,0.027759,0.091761
8,3381,338,1.000000,0.064471,0.086359,0.746548,11.000000,0.235496,0.335995
9,1858,185,1.000000,0.183201,0.052677,3.477842,11.000000,0.002584,0.046513
10,1770,177,1.000000,0.009812,0.049699,0.197436,11.000000,0.423544,0.460693
11,2147,214,1.000000,0.156560,0.090077,1.738066,11.000000,0.055037,0.110074
12,2371,237,1.000000,0.052752,0.073058,0.722058,11.000000,0.242663,0.335995
13,2447,244,1.000000,0.137293,0.051476,2.667141,11.000000,0.010953,0.085529
14,1345,134,1.000000,0.158351,0.109041,1.452211,11.000000,0.087182,0.156927
15,2065,206,1.000000,0.107877,0.057825,1.865566,11.000000,0.044488,0.107738
16,2222,222,1.000000,0.021970,0.072014,0.305084,11.000000,0.382999,0.459598
17,1615,161,1.000000,0.153959,0.084511,1.821771,11.000000,0.047883,0.107738
18,1958,195,1.000000,0.096137,0.069703,1.379241,11.000000,0.097608,0.159722
