Contrast name:,Group (ODD_joke-litEVEN_joke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[2;1],c[2;2],
,1.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],stderr[1;1],stderr[1;2],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.030935,0.224611,0.076614,0.089155,2.951668,10.000000,0.098301,0.271579
2,1399,139,1.000000,-0.060275,0.017938,0.078809,0.107246,0.266079,10.000000,0.771637,0.952173
3,4863,486,1.000000,0.131704,0.267563,0.137520,0.128332,2.017011,10.000000,0.183692,0.413306
4,5104,510,1.000000,-0.003710,0.033363,0.116882,0.101409,0.049249,10.000000,0.952173,0.952173
5,888,88,1.000000,0.026728,0.295720,0.197244,0.128063,2.838369,10.000000,0.105614,0.271579
6,1015,101,1.000000,0.027438,-0.012444,0.085694,0.102333,0.051605,10.000000,0.949955,0.952173
7,3526,352,1.000000,0.076191,0.173911,0.056639,0.081232,5.848548,10.000000,0.020797,0.219797
8,3381,338,1.000000,0.008256,0.064471,0.062357,0.086359,0.254767,10.000000,0.779978,0.952173
9,1858,185,1.000000,0.057268,0.183201,0.064479,0.052677,5.505442,10.000000,0.024422,0.219797
10,1770,177,1.000000,-0.034133,0.009812,0.064003,0.049699,0.232894,10.000000,0.796416,0.952173
11,2147,214,1.000000,0.056647,0.156560,0.076144,0.090077,1.389468,10.000000,0.293445,0.528201
12,2371,237,1.000000,0.029115,0.052752,0.049142,0.073058,0.518781,10.000000,0.610428,0.915642
13,2447,244,1.000000,0.113688,0.137293,0.063362,0.051476,4.362284,10.000000,0.043445,0.260671
14,1345,134,1.000000,0.183410,0.158351,0.080779,0.109041,2.873947,10.000000,0.103249,0.271579
15,2065,206,1.000000,0.051516,0.107877,0.060409,0.057825,2.944047,10.000000,0.098774,0.271579
16,2222,222,1.000000,-0.013496,0.021970,0.057862,0.072014,0.057269,10.000000,0.944647,0.952173
17,1615,161,1.000000,0.113616,0.153959,0.096808,0.084511,1.624076,10.000000,0.245032,0.490065
18,1958,195,1.000000,0.049910,0.096137,0.065257,0.069703,0.900102,10.000000,0.437071,0.715208
