Contrast name:,Group (jokelitjoke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[2;1],c[2;2],c[2;3],c[3;1],c[3;2],c[3;3],
,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],h[1;3],stderr[1;1],stderr[1;2],stderr[1;3],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.895230,0.779644,0.115586,0.159001,0.150644,0.056570,8.662000,9.000000,0.005104,0.017504
2,1399,139,1.000000,0.641827,0.681711,-0.039885,0.166020,0.185972,0.057628,4.076981,9.000000,0.043906,0.071846
3,4863,486,1.000000,0.551015,0.398361,0.152654,0.117740,0.139169,0.101120,6.069321,9.000000,0.015204,0.034209
4,5104,510,1.000000,0.332127,0.288070,0.044057,0.135801,0.101006,0.070681,2.218545,9.000000,0.155409,0.199812
5,888,88,1.000000,0.422407,0.311357,0.111051,0.181173,0.241904,0.127560,1.997944,9.000000,0.184911,0.221894
6,1015,101,1.000000,0.276331,0.305219,-0.028889,0.083638,0.108202,0.055262,2.978383,9.000000,0.089035,0.133553
7,3526,352,1.000000,1.127934,1.022334,0.105600,0.192819,0.176403,0.028476,9.333540,9.000000,0.003996,0.017504
8,3381,338,1.000000,0.504446,0.472817,0.031629,0.127684,0.109440,0.054701,5.093097,9.000000,0.024803,0.044645
9,1858,185,1.000000,0.587632,0.474176,0.113456,0.095229,0.087049,0.046677,10.389411,9.000000,0.002788,0.016730
10,1770,177,1.000000,0.418739,0.437568,-0.018829,0.090165,0.094625,0.050170,6.319782,9.000000,0.013517,0.034209
11,2147,214,1.000000,1.318524,1.213575,0.104949,0.178708,0.183915,0.072876,14.907706,9.000000,0.000775,0.006972
12,2371,237,1.000000,0.913254,0.869827,0.043427,0.108708,0.103514,0.040175,19.956384,9.000000,0.000258,0.004639
13,2447,244,1.000000,0.463451,0.331975,0.131476,0.106415,0.087737,0.043095,5.257656,9.000000,0.022754,0.044645
14,1345,134,1.000000,0.135256,-0.042429,0.177685,0.123545,0.114511,0.069335,1.792059,9.000000,0.218620,0.245948
15,2065,206,1.000000,0.645877,0.547340,0.098537,0.125815,0.123312,0.032422,8.309724,9.000000,0.005835,0.017504
16,2222,222,1.000000,0.317797,0.272759,0.045037,0.146022,0.148534,0.053782,1.372587,9.000000,0.312437,0.330816
17,1615,161,1.000000,0.331421,0.197392,0.134030,0.195775,0.152354,0.076280,0.956077,9.000000,0.454193,0.454193
18,1958,195,1.000000,0.408613,0.337990,0.070622,0.142640,0.110870,0.055007,2.534859,9.000000,0.122316,0.169360
