Data
ROI#,ROI size,average localizer mask size,inter-subject overlap,Subject#1[1],Subject#1[2],Subject#1[3],Subject#1[4],Subject#2[1],Subject#2[2],Subject#2[3],Subject#2[4],Subject#3[1],Subject#3[2],Subject#3[3],Subject#3[4],Subject#4[1],Subject#4[2],Subject#4[3],Subject#4[4],Subject#5[1],Subject#5[2],Subject#5[3],Subject#5[4],Subject#6[1],Subject#6[2],Subject#6[3],Subject#6[4],Subject#7[1],Subject#7[2],Subject#7[3],Subject#7[4],Subject#8[1],Subject#8[2],Subject#8[3],Subject#8[4],Subject#9[1],Subject#9[2],Subject#9[3],Subject#9[4],Subject#10[1],Subject#10[2],Subject#10[3],Subject#10[4],Subject#11[1],Subject#11[2],Subject#11[3],Subject#11[4],Subject#12[1],Subject#12[2],Subject#12[3],Subject#12[4]
1,2948,294,1.000000,0.807519,0.767927,0.952948,0.897540,1.212199,1.059595,1.076617,1.463393,0.469719,0.608065,0.622770,0.188455,1.547710,1.931256,2.408217,1.953588,1.035521,1.064847,1.148647,1.290345,0.982679,1.194099,1.584556,1.026516,0.220173,0.181185,1.125269,1.005066,1.627456,1.436776,1.947463,1.362227,1.088564,1.238713,1.380011,1.744229,1.020363,1.311702,1.253741,1.331519,1.555092,1.582807,1.533665,1.361475,1.684650,1.906185,1.287536,1.941499
2,1627,162,1.000000,0.446833,0.511546,0.616753,0.474119,0.821028,0.738978,0.779344,0.937041,0.573016,0.660802,0.674957,0.267207,1.025034,1.327325,1.855253,1.036859,0.597164,0.655719,0.696946,0.733492,1.089100,1.307173,1.395119,1.063923,0.045617,0.103433,0.018958,0.227649,1.182750,1.181195,1.632713,1.125874,0.776209,0.987641,1.022137,1.429954,0.905846,1.186500,1.125890,1.239651,0.602164,0.741919,0.793081,0.476803,1.168680,1.441898,0.977656,1.633138
3,644,64,1.000000,0.385838,0.342704,0.491405,0.537050,0.882544,0.734073,0.788972,1.147718,-0.068508,-0.002309,0.065849,-0.313803,1.174947,1.425173,2.172056,1.529049,0.257719,0.446539,0.534007,0.197876,0.514955,0.691625,0.652692,0.127527,-0.201956,-0.029057,0.117728,0.317027,0.276217,0.037724,0.713655,0.047268,-0.170211,-0.079657,0.065703,0.540401,0.138355,0.217160,0.209733,0.425572,0.160522,0.569089,0.560909,0.412505,1.475349,1.971490,1.321537,1.854664
4,743,74,1.000000,1.405874,1.470719,1.609058,1.893714,2.610724,2.267416,2.346638,3.186532,0.510689,0.594469,0.425410,-0.148461,1.547542,2.301019,2.159952,1.662517,0.749045,0.784604,0.719198,0.899254,1.355701,1.514177,1.832990,0.592202,1.419111,1.312929,2.718872,2.080162,1.689946,1.362404,1.891442,1.312937,1.667349,2.204027,2.238061,2.715031,4.010698,5.195598,4.438369,5.044990,3.098621,3.260305,2.998050,2.844382,1.474018,1.809748,0.982524,1.523031
5,462,46,1.000000,1.826569,1.845039,2.010736,2.921096,0.962543,0.691493,0.774914,1.389833,0.364844,0.419767,0.340077,-0.248831,0.778911,1.296029,1.316467,0.471802,1.374212,1.409995,1.404940,1.527310,1.620919,1.731864,2.294065,1.509191,1.223179,0.862228,1.980910,1.598108,1.260360,0.846151,0.741773,1.016929,0.289612,0.390172,0.502770,0.953569,2.220462,2.740183,2.316013,2.965998,1.375223,1.623468,1.473914,1.178024,2.477984,3.031534,1.782705,2.283499
6,370,37,1.000000,1.781276,2.184851,2.401940,2.002658,1.371385,1.207231,1.408166,1.421270,0.374811,0.395084,0.427428,0.015037,1.709786,2.986710,2.552917,1.620077,2.506101,2.929082,3.301366,3.806170,2.753641,2.927461,3.971275,2.488692,1.390470,1.329972,2.435667,1.807055,2.009051,1.916518,2.921298,1.866684,1.532725,1.852280,2.290310,2.738435,1.804939,2.252179,1.981196,1.902218,1.934069,1.899538,2.079705,1.559152,2.000869,2.245554,1.480268,1.881622

Weights
ROI#,Subject#1,Subject#2,Subject#3,Subject#4,Subject#5,Subject#6,Subject#7,Subject#8,Subject#9,Subject#10,Subject#11,Subject#12
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000

quality control (localizer mask sizes)
Subject#,Session/Partition#,filename,ROI#1,ROI#2,ROI#3,ROI#4,ROI#5,ROI#6
1,1,/users/evelina9/more_evelina_files/MEGADATA/152_KAN_RHnonlit_01/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
2,1,/users/evelina9/more_evelina_files/MEGADATA/138_KAN_RHnonlit_02/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
3,1,/users/evelina9/more_evelina_files/MEGADATA/136_KAN_RHnonlit_03/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
4,1,/users/evelina9/more_evelina_files/MEGADATA/194_KAN_RHnonlit_04/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
5,1,/users/evelina9/more_evelina_files/MEGADATA/097_KAN_RHnonlit_05/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
6,1,/users/evelina9/more_evelina_files/MEGADATA/135_KAN_RHnonlit_06/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
7,1,/users/evelina9/more_evelina_files/MEGADATA/197_KAN_RHnonlit_07/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
8,1,/users/evelina9/more_evelina_files/MEGADATA/198_KAN_RHnonlit_08/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
9,1,/users/evelina9/more_evelina_files/MEGADATA/018_KAN_RHnonlit_09/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
10,1,/users/evelina9/more_evelina_files/MEGADATA/049_KAN_RHnonlit_10/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
11,1,/users/evelina9/more_evelina_files/MEGADATA/201_KAN_RHnonlit_11/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
12,1,/users/evelina9/more_evelina_files/MEGADATA/175_KAN_RHnonlit_12/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
