Contrast name:,Group (jokelitjoke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[2;1],c[2;2],c[2;3],c[3;1],c[3;2],c[3;3],
,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],h[1;3],stderr[1;1],stderr[1;2],stderr[1;3],T/F,dof,p,p-fdr
1,389,50,1.000000,0.114144,-0.044572,0.158716,0.105971,0.088812,0.050802,2.823016,9.000000,0.099282,0.133183
2,389,50,1.000000,0.520346,0.405627,0.114719,0.130507,0.126556,0.030286,6.630814,9.000000,0.011729,0.058643
3,389,50,1.000000,0.098257,-0.021601,0.119858,0.093605,0.085941,0.052432,1.427812,9.000000,0.297731,0.297731
4,163,50,1.000000,-0.050617,-0.484158,0.433542,0.220323,0.261997,0.137366,2.724132,9.000000,0.106546,0.133183
5,378,50,1.000000,0.576255,0.316698,0.259557,0.178633,0.115020,0.110357,2.859210,9.000000,0.096773,0.133183
