,MROI 7,MROI 9,MROI 13,MROI 15,ToMROI 1,ToMROI 2,ToMROI 3,ToMROI 4,ToMROI 5
MROI 7,,,,,,,,,
MROI 9,0.4479561,,,,,,,,
MROI 13,0.6266418,0.6449872,,,,,,,
MROI 15,0.46513,0.6620614,0.7182164,,,,,,
ToMROI 1,0.3297567,0.6936573,0.8072007,0.9111343,,,,,
ToMROI 2,0.3081461,0.3454277,0.003876845,0.2670281,0.01960579,,,,
ToMROI 3,0.06114042,0.570601,0.4827183,0.5736868,0.6783391,0.1733551,,,
ToMROI 4,0.2456664,0.2497895,0.1157616,0.1110278,0.1664279,-0.1133614,0.1254464,,
ToMROI 5,0.4768902,0.6766534,0.6920721,0.5065025,0.5682974,0.5460306,0.5426771,0.2056374,
