Contrast name:,Group (lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],
,0.000000,1.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,389,38,1.000000,-0.044416,0.086151,-0.515557,11.000000,0.691817,0.864771
2,389,38,1.000000,0.402179,0.130628,3.078809,11.000000,0.005247,0.026234
3,389,38,1.000000,-0.021687,0.085525,-0.253574,11.000000,0.597749,0.864771
4,163,16,1.000000,-0.465066,0.306372,-1.517977,11.000000,0.921388,0.921388
5,378,37,1.000000,0.322226,0.121379,2.654706,11.000000,0.011199,0.027997
