Contrast name:,Group (joke)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],
,1.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,389,38,1.000000,0.115579,0.101298,1.140979,11.000000,0.139055,0.192187
2,389,38,1.000000,0.525009,0.135968,3.861264,11.000000,0.001324,0.006619
3,389,38,1.000000,0.098224,0.091791,1.070085,11.000000,0.153750,0.192187
4,163,16,1.000000,0.025273,0.241737,0.104546,11.000000,0.459309,0.459309
5,378,37,1.000000,0.578625,0.184550,3.135323,11.000000,0.004744,0.011859
