System,ROI number,Size in voxels
Language,1,2948
Language,2,1627
Language,3,644
Language,4,743
Language,5,462
Language,6,370
ToM,1,1885
ToM,2,3322
ToM,3,1525
ToM,4,4182
ToM,5,3419
ToM,6,1313
ToM,7,4051
MD,1,1038
MD,2,1399
MD,3,4863
MD,4,5104
MD,5,888
MD,6,1015
MD,7,3526
MD,8,3381
MD,9,1858
MD,10,1770
MD,11,2147
MD,12,2371
MD,13,2447
MD,14,1345
MD,15,2065
MD,16,2222
MD,17,1615
MD,18,1958
