Contrast name:,Group (joke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],
,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,389,38,1.000000,0.159995,0.051971,3.078542,11.000000,0.005249,0.010982
2,389,38,1.000000,0.122830,0.031056,3.955154,11.000000,0.001126,0.005632
3,389,38,1.000000,0.119911,0.054657,2.193874,11.000000,0.025312,0.025312
4,163,16,1.000000,0.490338,0.166142,2.951325,11.000000,0.006589,0.010982
5,378,37,1.000000,0.256399,0.112481,2.279492,11.000000,0.021788,0.025312
