Contrast name:,Group (other)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],
,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1885,188,1.000000,0.187708,0.195773,0.958803,11.000000,0.179129,0.313476
2,3322,332,1.000000,0.575182,0.177681,3.237164,11.000000,0.003957,0.027698
3,1525,152,1.000000,-0.238977,0.237859,-1.004701,11.000000,0.831685,0.831685
4,4182,418,1.000000,-0.019591,0.122605,-0.159787,11.000000,0.562028,0.700923
5,3419,341,1.000000,0.248104,0.123527,2.008503,11.000000,0.034890,0.081409
6,1313,131,1.000000,-0.069297,0.264838,-0.261660,11.000000,0.600791,0.700923
7,4051,405,1.000000,0.243066,0.104897,2.317174,11.000000,0.020390,0.071365
