Contrast name:,Group (jokelitjoke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[2;1],c[2;2],c[2;3],c[3;1],c[3;2],c[3;3],
,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],h[1;3],stderr[1;1],stderr[1;2],stderr[1;3],T/F,dof,p,p-fdr
1,2948,294,1.000000,0.526604,0.466079,0.060526,0.122983,0.124074,0.035776,5.398520,9.000000,0.021161,0.031742
2,1627,162,1.000000,0.532596,0.495311,0.037284,0.138087,0.122327,0.041947,4.471745,9.000000,0.034875,0.041851
3,644,64,1.000000,0.032290,0.037564,-0.005275,0.067719,0.072848,0.022274,0.073116,9.000000,0.972912,0.972912
4,743,74,1.000000,0.898169,0.872652,0.025517,0.157422,0.163301,0.055189,8.879840,9.000000,0.004708,0.014123
5,462,46,1.000000,0.510643,0.483212,0.027430,0.113658,0.114329,0.033115,5.524565,9.000000,0.019850,0.031742
6,370,37,1.000000,0.986922,0.908093,0.078829,0.156259,0.110171,0.082626,19.216057,9.000000,0.000298,0.001789
