Contrast name:,Group (jokelitjoke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[2;1],c[2;2],c[2;3],c[3;1],c[3;2],c[3;3],
,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],h[1;3],stderr[1;1],stderr[1;2],stderr[1;3],T/F,dof,p,p-fdr
1,2948,294,1.000000,1.176119,1.150496,0.025623,0.124120,0.124233,0.042492,24.764747,9.000000,0.000111,0.000235
2,1627,162,1.000000,0.875639,0.820530,0.055109,0.107695,0.090026,0.031489,24.403803,9.000000,0.000117,0.000235
3,644,64,1.000000,0.528742,0.450508,0.078234,0.156045,0.149229,0.023958,4.458660,9.000000,0.035136,0.035136
4,743,74,1.000000,1.864203,1.859348,0.004855,0.308139,0.317664,0.077750,9.982792,9.000000,0.003192,0.003830
5,462,46,1.000000,1.313488,1.361210,-0.047722,0.200153,0.210770,0.059722,11.837126,9.000000,0.001776,0.002664
6,370,37,1.000000,1.966392,1.832896,0.133496,0.207875,0.181041,0.082473,27.995808,9.000000,0.000068,0.000235
