Contrast name:,Group (S-N)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],
,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,2948,294,1.000000,1.052682,0.111046,9.479698,11.000000,0.000001,0.000002
2,1627,162,1.000000,1.062255,0.094598,11.229194,11.000000,0.000000,0.000001
3,644,64,1.000000,0.501920,0.105092,4.776003,11.000000,0.000288,0.000288
4,743,74,1.000000,1.441378,0.228180,6.316860,11.000000,0.000029,0.000043
5,462,46,1.000000,1.088252,0.178846,6.084868,11.000000,0.000040,0.000047
6,370,37,1.000000,1.227672,0.143522,8.553901,11.000000,0.000002,0.000003
