Data
ROI#,average ROI size,average localizer mask size,inter-subject overlap,Subject#1[1],Subject#1[2],Subject#1[3],Subject#1[4],Subject#2[1],Subject#2[2],Subject#2[3],Subject#2[4],Subject#3[1],Subject#3[2],Subject#3[3],Subject#3[4],Subject#4[1],Subject#4[2],Subject#4[3],Subject#4[4],Subject#5[1],Subject#5[2],Subject#5[3],Subject#5[4],Subject#6[1],Subject#6[2],Subject#6[3],Subject#6[4],Subject#7[1],Subject#7[2],Subject#7[3],Subject#7[4],Subject#8[1],Subject#8[2],Subject#8[3],Subject#8[4],Subject#9[1],Subject#9[2],Subject#9[3],Subject#9[4],Subject#10[1],Subject#10[2],Subject#10[3],Subject#10[4],Subject#11[1],Subject#11[2],Subject#11[3],Subject#11[4],Subject#12[1],Subject#12[2],Subject#12[3],Subject#12[4]
1,2948,50,1.000000,0.965021,0.864911,1.056658,1.055098,1.254297,1.091418,1.119554,1.524703,0.540208,0.696555,0.696597,0.221661,1.846646,2.171321,2.833502,2.308554,1.265046,1.277068,1.376906,1.556358,0.854851,0.999984,1.361598,0.915183,0.171082,0.016990,1.020613,0.974285,2.382800,2.152841,2.652348,2.161368,1.237191,1.377823,1.513270,1.940629,1.229551,1.616690,1.468453,1.656880,2.075169,2.107283,2.051329,1.833113,1.871763,2.054206,1.395342,2.074785
2,1627,50,1.000000,0.635553,0.698870,0.822732,0.691094,1.083475,0.947863,1.016420,1.250618,0.683811,0.748105,0.745511,0.315277,1.094835,1.421890,1.948229,1.032015,0.639296,0.674040,0.742465,0.789283,1.430004,1.759942,1.917596,1.502847,0.069431,0.144045,0.084297,0.256585,1.354711,1.389957,1.840527,1.280059,0.935521,1.195061,1.244476,1.795817,1.115847,1.472141,1.392931,1.527891,0.865501,0.971114,1.008658,0.736363,1.427057,1.772046,1.179445,1.853686
3,644,50,1.000000,0.379793,0.333516,0.480628,0.530955,0.907105,0.758840,0.808224,1.178227,-0.043645,0.020935,0.090769,-0.287673,1.196309,1.445234,2.196367,1.544282,0.323427,0.506439,0.601973,0.270671,0.569488,0.732830,0.698255,0.208453,-0.167887,0.040534,0.167296,0.353744,0.276135,0.028631,0.722028,0.052392,-0.161717,-0.071531,0.078215,0.556416,0.166547,0.262806,0.256630,0.469031,0.154085,0.576879,0.570396,0.419513,1.469365,1.947385,1.297434,1.879958
4,743,50,1.000000,1.454543,1.489102,1.653573,1.841194,2.828096,2.471553,2.546318,3.444434,0.448760,0.524178,0.368961,-0.163714,1.602114,2.353021,2.239739,1.751245,0.705179,0.720178,0.667927,0.807860,1.525833,1.678282,2.061153,0.705314,1.395429,1.332728,2.779383,2.097845,1.797441,1.440151,1.984622,1.405911,1.805458,2.383095,2.402079,2.915557,4.374027,5.670587,4.860480,5.519801,3.353234,3.484720,3.228974,3.105792,1.479181,1.807630,0.964191,1.430349
5,462,50,1.000000,1.836619,1.853314,2.019382,2.886817,0.969747,0.696120,0.774211,1.401748,0.352124,0.416807,0.338312,-0.246671,0.779315,1.281524,1.300073,0.482390,1.387137,1.421489,1.419702,1.547278,1.647403,1.758382,2.315525,1.540881,1.208583,0.852337,1.954486,1.580697,1.217619,0.807396,0.708599,0.972998,0.241647,0.342570,0.453750,0.915478,2.327996,2.863562,2.434374,3.048801,1.396950,1.649152,1.489926,1.175152,2.482604,3.042319,1.800200,2.264513
6,370,50,1.000000,1.835492,2.244761,2.434569,2.011504,1.322642,1.157886,1.355248,1.351790,0.411847,0.430168,0.452756,0.025481,1.719591,3.035446,2.601465,1.582750,2.330775,2.746974,3.117404,3.539196,2.700259,2.870011,3.929983,2.406987,1.333861,1.265492,2.282623,1.713687,1.971205,1.897908,2.871210,1.879925,1.582643,1.903700,2.349807,2.763536,1.823113,2.277763,2.006823,1.893272,1.809525,1.778335,1.973011,1.440419,1.993447,2.240552,1.471081,1.850417

Weights
ROI#,Subject#1,Subject#2,Subject#3,Subject#4,Subject#5,Subject#6,Subject#7,Subject#8,Subject#9,Subject#10,Subject#11,Subject#12
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000

quality control (localizer mask sizes)
Subject#,Session/Partition#,filename,ROI#1,ROI#2,ROI#3,ROI#4,ROI#5,ROI#6
1,1,/users/evelina9/more_evelina_files/MEGADATA/152_KAN_RHnonlit_01/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
2,1,/users/evelina9/more_evelina_files/MEGADATA/138_KAN_RHnonlit_02/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
3,1,/users/evelina9/more_evelina_files/MEGADATA/136_KAN_RHnonlit_03/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
4,1,/users/evelina9/more_evelina_files/MEGADATA/194_KAN_RHnonlit_04/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
5,1,/users/evelina9/more_evelina_files/MEGADATA/097_KAN_RHnonlit_05/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
6,1,/users/evelina9/more_evelina_files/MEGADATA/135_KAN_RHnonlit_06/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
7,1,/users/evelina9/more_evelina_files/MEGADATA/197_KAN_RHnonlit_07/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
8,1,/users/evelina9/more_evelina_files/MEGADATA/198_KAN_RHnonlit_08/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
9,1,/users/evelina9/more_evelina_files/MEGADATA/018_KAN_RHnonlit_09/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
10,1,/users/evelina9/more_evelina_files/MEGADATA/049_KAN_RHnonlit_10/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
11,1,/users/evelina9/more_evelina_files/MEGADATA/201_KAN_RHnonlit_11/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
12,1,/users/evelina9/more_evelina_files/MEGADATA/175_KAN_RHnonlit_12/firstlevel_langlocSN/locT_0003_Nvoxels-ROI-level50.img,50,50,50,50,50,50
