Contrast name:,Group (S)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],
,1.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,2948,294,1.000000,1.517052,0.155851,9.734018,11.000000,0.000000,0.000003
2,1627,162,1.000000,1.272095,0.145707,8.730515,11.000000,0.000001,0.000004
3,644,64,1.000000,0.544344,0.167168,3.256261,11.000000,0.003825,0.003825
4,743,74,1.000000,2.027386,0.279687,7.248779,11.000000,0.000008,0.000012
5,462,46,1.000000,1.701880,0.292599,5.816424,11.000000,0.000058,0.000070
6,370,37,1.000000,1.920560,0.257901,7.446892,11.000000,0.000006,0.000012
