Visual																				
	0	2	4	6	8	10	12	14	16	18	20	22								
bel_rea	0.00	-0.11	0.00	0.27	0.43	0.45	0.36	0.28	0.21	0.02	0.06	0.05	-2.13E-02	-7.36E-03	5.95E-02	8.07E-02	-4.28E-02	-2.21E-02	6.91E-02	1.62E-01
bel_rep	0.07	0.01	0.07	0.19	0.31	0.32	0.18	0.25	0.38	0.32	0.26	0.17	4.39E-02	-9.45E-03	-1.01E-01	-5.82E-02	-1.37E-01	-1.30E-02	8.10E-02	1.89E-01
pho_rea	0.14	-0.10	-0.14	-0.10	-0.07	-0.15	-0.11	-0.04	-0.14	-0.14	-0.10	0.02	7.16E-02	5.28E-02	9.21E-02	9.70E-02	-5.24E-02	2.78E-03	1.51E-01	2.70E-01
Pho_rep	0.03	-0.10	-0.02	0.10	0.11	-0.01	-0.03	0.03	-0.10	-0.08	-0.11	-0.09	-7.80E-03	4.37E-02	1.89E-01	2.20E-01	8.08E-02	1.11E-01	2.27E-01	2.48E-01
																				
Auditory																				
	0	2	4	6	8	10	12	14	16	18	20	22								
bel_rea	-0.02	0.03	0.02	0.08	0.25	0.47	0.60	0.59	0.64	0.51	0.31	0.14	-0.02	-0.01	0.03	-0.03	0.03	-0.03	-0.07	-0.01
bel_rep	0.02	0.14	0.20	0.19	0.43	0.72	0.77	0.70	0.67	0.56	0.37	0.11	0.14	0.13	0.05	0.03	0.03	0.00	0.02	-0.01
pho_rea	0.15	0.10	0.06	-0.14	-0.19	-0.09	0.05	0.14	0.10	-0.01	-0.11	-0.06	-0.03	0.06	0.06	0.07	0.08	0.10	0.07	0.17
Pho_rep	-0.08	-0.03	-0.03	-0.07	-0.08	0.06	0.21	0.22	0.30	0.18	0.04	-0.06	-0.05	0.03	-0.03	0.00	-0.02	0.09	0.07	0.19
