Contrast name:,Group (bel)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],
,1.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1885,188,1.000000,0.792129,0.366729,2.159989,8.000000,0.031395,0.043953
2,3322,332,1.000000,1.411234,0.156543,9.014987,8.000000,0.000009,0.000064
3,1525,152,1.000000,0.236696,0.282330,0.838369,8.000000,0.213081,0.248594
4,4182,418,1.000000,0.774902,0.201134,3.852674,8.000000,0.002430,0.004252
5,3419,341,1.000000,1.115109,0.216300,5.155380,8.000000,0.000434,0.001520
6,1313,131,1.000000,0.021185,0.187452,0.113015,8.000000,0.456402,0.456402
7,4051,405,1.000000,0.897579,0.202626,4.429733,8.000000,0.001099,0.002564
