Contrast name:,Group (jokelitjoke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[2;1],c[2;2],c[2;3],c[3;1],c[3;2],c[3;3],
,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],h[1;3],stderr[1;1],stderr[1;2],stderr[1;3],T/F,dof,p,p-fdr
1,1885,50,1.000000,0.579571,0.421511,0.158060,0.131506,0.115927,0.085378,5.338082,9.000000,0.021827,0.076396
2,3322,50,1.000000,0.568971,0.424977,0.143994,0.122169,0.103819,0.038441,6.304853,9.000000,0.013611,0.076396
3,1525,50,1.000000,0.142556,-0.151057,0.293613,0.106701,0.112578,0.073312,4.399119,9.000000,0.036354,0.084826
4,4182,50,1.000000,0.031290,-0.106227,0.137517,0.060291,0.062546,0.056050,1.731882,9.000000,0.229810,0.321734
5,3419,50,1.000000,0.152949,0.018120,0.134829,0.102840,0.080061,0.057569,1.496000,9.000000,0.280664,0.327441
6,1313,50,1.000000,0.105719,-0.024991,0.130710,0.152667,0.229064,0.105126,1.199224,9.000000,0.364307,0.364307
7,4051,50,1.000000,0.231926,0.190260,0.041666,0.063307,0.057257,0.040629,3.815875,9.000000,0.051460,0.090054
