Contrast name:,Group (lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],
,0.000000,1.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1885,50,1.000000,0.421511,0.115927,3.635998,11.000000,0.001958,0.006852
2,3322,50,1.000000,0.424977,0.103819,4.093436,11.000000,0.000890,0.006227
3,1525,50,1.000000,-0.151057,0.112578,-1.341800,11.000000,0.896649,0.941245
4,4182,50,1.000000,-0.106227,0.062546,-1.698374,11.000000,0.941245,0.941245
5,3419,50,1.000000,0.018120,0.080061,0.226323,11.000000,0.412550,0.721963
6,1313,50,1.000000,-0.024991,0.229064,-0.109102,11.000000,0.542457,0.759440
7,4051,50,1.000000,0.190260,0.057257,3.322885,11.000000,0.003398,0.007929
