Contrast name:,Group (low)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],
,1.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,2948,50,1.000000,1.307802,0.186122,7.026579,11.000000,0.000011,0.000022
2,1627,50,1.000000,0.944587,0.114705,8.234942,11.000000,0.000002,0.000007
3,644,50,1.000000,0.422417,0.151481,2.788582,11.000000,0.008816,0.008816
4,743,50,1.000000,1.897441,0.319872,5.931877,11.000000,0.000049,0.000059
5,462,50,1.000000,1.320645,0.200185,6.597134,11.000000,0.000019,0.000029
6,370,50,1.000000,1.736200,0.163712,10.605235,11.000000,0.000000,0.000001
