Contrast name:,Group (jokelitjoke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[2;1],c[2;2],c[2;3],c[3;1],c[3;2],c[3;3],
,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],h[1;3],stderr[1;1],stderr[1;2],stderr[1;3],T/F,dof,p,p-fdr
1,2948,50,1.000000,0.574793,0.526825,0.047969,0.120673,0.116491,0.037212,6.187966,9.000000,0.014375,0.024671
2,1627,50,1.000000,0.718460,0.668450,0.050009,0.194540,0.169454,0.049975,4.339286,9.000000,0.037629,0.045155
3,644,50,1.000000,0.059023,0.062361,-0.003338,0.065209,0.072311,0.021491,0.223474,9.000000,0.877719,0.877719
4,743,50,1.000000,0.943376,0.930548,0.012828,0.171544,0.173005,0.055738,8.322689,9.000000,0.005806,0.017417
5,462,50,1.000000,0.507242,0.478563,0.028679,0.109369,0.110640,0.032500,5.905424,9.000000,0.016448,0.024671
6,370,50,1.000000,0.979239,0.906413,0.072826,0.140503,0.098667,0.081029,23.348373,9.000000,0.000140,0.000838
