Contrast name:,Group (joke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],
,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.115586,0.056570,2.043234,11.000000,0.032869,0.098606
2,1399,139,1.000000,-0.039885,0.057628,-0.692108,11.000000,0.748391,0.748391
3,4863,486,1.000000,0.152654,0.101120,1.509636,11.000000,0.079657,0.177686
4,5104,510,1.000000,0.044057,0.070681,0.623326,11.000000,0.272889,0.344860
5,888,88,1.000000,0.111051,0.127560,0.870578,11.000000,0.201292,0.290896
6,1015,101,1.000000,-0.028889,0.055262,-0.522759,11.000000,0.694246,0.735084
7,3526,352,1.000000,0.105600,0.028476,3.708458,11.000000,0.001725,0.031054
8,3381,338,1.000000,0.031629,0.054701,0.578212,11.000000,0.287384,0.344860
9,1858,185,1.000000,0.113456,0.046677,2.430656,11.000000,0.016685,0.060068
10,1770,177,1.000000,-0.018829,0.050170,-0.375309,11.000000,0.642717,0.723056
11,2147,214,1.000000,0.104949,0.072876,1.440104,11.000000,0.088843,0.177686
12,2371,237,1.000000,0.043427,0.040175,1.080939,11.000000,0.151427,0.247789
13,2447,244,1.000000,0.131476,0.043095,3.050831,11.000000,0.005516,0.033790
14,1345,134,1.000000,0.177685,0.069335,2.562692,11.000000,0.013196,0.059381
15,2065,206,1.000000,0.098537,0.032422,3.039171,11.000000,0.005632,0.033790
16,2222,222,1.000000,0.045037,0.053782,0.837412,11.000000,0.210091,0.290896
17,1615,161,1.000000,0.134030,0.076280,1.757070,11.000000,0.053333,0.137142
18,1958,195,1.000000,0.070622,0.055007,1.283870,11.000000,0.112786,0.203014
