Contrast name:,Group (ODD_joke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],
,1.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1885,188,1.000000,0.129453,0.124929,1.036212,11.000000,0.161173,0.225642
2,3322,332,1.000000,0.066281,0.052068,1.272979,11.000000,0.114636,0.200612
3,1525,152,1.000000,0.267535,0.130997,2.042295,11.000000,0.032922,0.076817
4,4182,418,1.000000,0.129081,0.050930,2.534464,11.000000,0.013876,0.048566
5,3419,341,1.000000,0.142205,0.053549,2.655613,11.000000,0.011181,0.048566
6,1313,131,1.000000,-0.010326,0.092339,-0.111832,11.000000,0.543514,0.543514
7,4051,405,1.000000,0.026290,0.049449,0.531659,11.000000,0.302766,0.353227
