Contrast name:,Group (joke)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],
,1.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1885,188,1.000000,0.599368,0.152867,3.920854,11.000000,0.001195,0.002788
2,3322,332,1.000000,0.539245,0.107399,5.020968,11.000000,0.000195,0.001363
3,1525,152,1.000000,0.053828,0.104845,0.513405,11.000000,0.308911,0.308911
4,4182,418,1.000000,0.038213,0.056992,0.670493,11.000000,0.258187,0.308911
5,3419,341,1.000000,0.136169,0.095927,1.419514,11.000000,0.091731,0.160529
6,1313,131,1.000000,0.080810,0.150005,0.538718,11.000000,0.300407,0.308911
7,4051,405,1.000000,0.252697,0.062635,4.034452,11.000000,0.000984,0.002788
