Data
ROI#,ROI size,average localizer mask size,inter-subject overlap,Subject#1[1],Subject#1[2],Subject#1[3],Subject#2[1],Subject#2[2],Subject#2[3],Subject#3[1],Subject#3[2],Subject#3[3],Subject#4[1],Subject#4[2],Subject#4[3],Subject#5[1],Subject#5[2],Subject#5[3],Subject#6[1],Subject#6[2],Subject#6[3],Subject#7[1],Subject#7[2],Subject#7[3],Subject#8[1],Subject#8[2],Subject#8[3],Subject#9[1],Subject#9[2],Subject#9[3],Subject#10[1],Subject#10[2],Subject#10[3],Subject#11[1],Subject#11[2],Subject#11[3],Subject#12[1],Subject#12[2],Subject#12[3]
1,1885,188,1.000000,1.557441,1.402710,0.154731,0.504243,0.569899,-0.065657,0.519893,0.098289,0.421604,-0.056584,-0.138515,0.081931,0.122145,0.036040,0.086105,0.919579,0.765070,0.154509,-0.303420,-0.024737,-0.278683,0.266087,0.217561,0.048526,1.077979,0.716270,0.361709,0.932409,0.160284,0.772126,0.722196,0.965552,-0.243357,0.930452,0.629423,0.301030
2,3322,332,1.000000,0.319865,0.229798,0.090067,0.422610,0.358100,0.064510,0.056116,-0.251284,0.307400,0.855038,0.686394,0.168645,0.322294,0.285254,0.037040,0.550602,0.377860,0.172742,0.238064,0.330174,-0.092110,0.418915,0.359153,0.059761,0.984225,0.839436,0.144790,0.388853,0.236965,0.151888,0.506996,0.537506,-0.030510,1.407362,1.126575,0.280787
3,1525,152,1.000000,0.013194,-0.430563,0.443757,-0.137268,-0.493862,0.356594,0.060522,-0.133653,0.194175,0.386472,0.319656,0.066816,0.046985,-0.088994,0.135979,-0.089750,-0.349049,0.259299,-0.307757,-0.108920,-0.198836,-0.233988,-0.341632,0.107644,0.810545,0.481139,0.329406,-0.113281,-0.836877,0.723595,-0.375537,-0.877908,0.502371,0.585798,0.273889,0.311910
4,4182,418,1.000000,-0.021808,-0.237655,0.215847,0.065792,-0.022212,0.088004,0.037049,-0.219522,0.256570,0.250964,0.158318,0.092646,-0.017770,0.033073,-0.050844,-0.024874,-0.375514,0.350640,-0.366010,-0.220973,-0.145037,0.181473,-0.060155,0.241628,0.093261,0.023910,0.069351,-0.063321,-0.249133,0.185812,-0.106568,-0.072221,-0.034347,0.430363,0.330080,0.100283
5,3419,341,1.000000,0.071869,-0.120294,0.192163,0.103543,0.160711,-0.057168,0.163833,0.048650,0.115183,0.085078,-0.030764,0.115842,0.103643,0.090922,0.012720,0.180743,-0.101071,0.281814,-0.308336,-0.240613,-0.067723,-0.051848,-0.323321,0.271474,0.205047,0.155794,0.049253,0.272312,-0.041346,0.313658,-0.229676,-0.136788,-0.092888,1.037820,0.695362,0.342459
6,1313,131,1.000000,0.328491,0.282893,0.045598,0.383566,0.857437,-0.473871,-0.027946,-0.276106,0.248160,0.232114,0.287966,-0.055852,-0.045197,-0.094287,0.049091,0.397079,0.214681,0.182399,-0.057963,-0.012581,-0.045382,0.173063,0.110336,0.062728,0.089507,-0.008366,0.097874,-1.110594,-2.015032,0.904437,-0.444475,-0.378895,-0.065580,1.052080,0.976317,0.075763
7,4051,405,1.000000,0.297458,0.114143,0.183316,0.492773,0.584170,-0.091397,0.080908,-0.005071,0.085979,0.407280,0.281052,0.126228,0.162122,0.207606,-0.045483,0.384151,0.229269,0.154882,-0.227989,-0.005767,-0.222222,0.146185,0.015529,0.130656,0.375749,0.271557,0.104192,0.382059,0.191917,0.190141,0.037038,0.130322,-0.093284,0.494626,0.453010,0.041616

Weights
ROI#,Subject#1,Subject#2,Subject#3,Subject#4,Subject#5,Subject#6,Subject#7,Subject#8,Subject#9,Subject#10,Subject#11,Subject#12
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
7,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000

quality control (localizer mask sizes)
Subject#,Session/Partition#,filename,ROI#1,ROI#2,ROI#3,ROI#4,ROI#5,ROI#6,ROI#7
1,1,/users/evelina9/more_evelina_files/MEGADATA/152_KAN_RHnonlit_01/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
2,1,/users/evelina9/more_evelina_files/MEGADATA/138_KAN_RHnonlit_02/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
3,1,/users/evelina9/more_evelina_files/MEGADATA/136_KAN_RHnonlit_03/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
4,1,/users/evelina9/more_evelina_files/MEGADATA/194_KAN_RHnonlit_04/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
5,1,/users/evelina9/more_evelina_files/MEGADATA/097_KAN_RHnonlit_05/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
6,1,/users/evelina9/more_evelina_files/MEGADATA/135_KAN_RHnonlit_06/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
7,1,/users/evelina9/more_evelina_files/MEGADATA/197_KAN_RHnonlit_07/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
8,1,/users/evelina9/more_evelina_files/MEGADATA/198_KAN_RHnonlit_08/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
9,1,/users/evelina9/more_evelina_files/MEGADATA/018_KAN_RHnonlit_09/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
10,1,/users/evelina9/more_evelina_files/MEGADATA/049_KAN_RHnonlit_10/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
11,1,/users/evelina9/more_evelina_files/MEGADATA/201_KAN_RHnonlit_11/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
12,1,/users/evelina9/more_evelina_files/MEGADATA/175_KAN_RHnonlit_12/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
